Node,Name,Parent,Type
A1,Cluster Empresarial,,detail
A1-1,Departamento IT,A1,detail
A1-2,Departamento Marketing,A1,detail
A1-3,Departamento Ventas,A1,detail
A1-1-1,Equipo Desarrollo,A1-1,detail
A1-1-2,Equipo QA,A1-1,detail
A1-1-3,Equipo DevOps,A1-1,detail
A1-1-1-1,Frontend,A1-1-1,detail
A1-1-1-2,Backend,A1-1-1,detail
A1-1-1-3,Mobile,A1-1-1,detail
A1-1-1-1-1,React,A1-1-1-1,detail
A1-1-1-1-2,Vue,A1-1-1-1,detail
A1-1-1-2-1,Node.js,A1-1-1-2,detail
A1-1-1-2-2,Python,A1-1-1-2,detail
A1-1-1-3-1,iOS,A1-1-1-3,detail
A1-1-1-3-2,Android,A1-1-1-3,detail
A1-2-1,Digital,A1-2,detail
A1-2-2,Tradicional,A1-2,detail
A1-2-1-1,SEO,A1-2-1,detail
A1-2-1-2,Social Media,A1-2-1,detail
A1-2-1-3,Email Marketing,A1-2-1,detail
A1-3-1,Online,A1-3,detail
A1-3-2,Offline,A1-3,detail
A1-3-1-1,E-commerce,A1-3-1,detail
A1-3-1-2,Marketplace,A1-3-1,detail

B1,Cluster Académico,,detail
B1-1,Facultad Ciencias,B1,detail
B1-2,Facultad Humanidades,B1,detail
B1-1-1,Matemáticas,B1-1,detail
B1-1-2,Física,B1-1,detail
B1-1-3,Química,B1-1,detail
B1-1-1-1,Álgebra,B1-1-1,detail
B1-1-1-2,Cálculo,B1-1-1,detail
B1-1-1-3,Geometría,B1-1-1,detail
B1-2-1,Historia,B1-2,detail
B1-2-2,Filosofía,B1-2,detail
B1-2-3,Literatura,B1-2,detail
B1-2-1-1,Historia Antigua,B1-2-1,detail
B1-2-1-2,Historia Moderna,B1-2-1,detail
B1-2-2-1,Ética,B1-2-2,detail
B1-2-2-2,Metafísica,B1-2-2,detail

C1,Cluster Tecnológico,,detail
C1-1,Inteligencia Artificial,C1,detail
C1-2,Blockchain,C1,detail
C1-3,Cloud Computing,C1,detail
C1-1-1,Machine Learning,C1-1,detail
C1-1-2,Deep Learning,C1-1,detail
C1-1-3,Computer Vision,C1-1,detail
C1-1-1-1,Supervised Learning,C1-1-1,detail
C1-1-1-2,Unsupervised Learning,C1-1-1,detail
C1-1-1-3,Reinforcement Learning,C1-1-1,detail
C1-2-1,Smart Contracts,C1-2,detail
C1-2-2,DeFi,C1-2,detail
C1-2-3,NFTs,C1-2,detail
C1-3-1,IaaS,C1-3,detail
C1-3-2,PaaS,C1-3,detail
C1-3-3,SaaS,C1-3,detail
C1-3-1-1,AWS,C1-3-1,detail
C1-3-1-2,Azure,C1-3-1,detail
C1-3-1-3,GCP,C1-3-1,detail

D1,Cluster Médico,,detail
D1-1,Cardiología,D1,detail
D1-2,Neurología,D1,detail
D1-3,Oncología,D1,detail
D1-1-1,Cardiología Intervencionista,D1-1,detail
D1-1-2,Cardiología Clínica,D1-1,detail
D1-1-3,Electrofisiología,D1-1,detail
D1-1-1-1,Angioplastia,D1-1-1,detail
D1-1-1-2,Stents,D1-1-1,detail
D1-2-1,Neurología Vascular,D1-2,detail
D1-2-2,Neurología Cognitiva,D1-2,detail
D1-2-3,Neurocirugía,D1-2,detail
D1-2-1-1,ACV,D1-2-1,detail
D1-2-1-2,Aneurismas,D1-2-1,detail
D1-3-1,Oncología Médica,D1-3,detail
D1-3-2,Oncología Radioterápica,D1-3,detail
D1-3-3,Cirugía Oncológica,D1-3,detail

E1,Cluster Financiero,,detail
E1-1,Banca Comercial,E1,detail
E1-2,Banca de Inversión,E1,detail
E1-3,Seguros,E1,detail
E1-1-1,Banca Minorista,E1-1,detail
E1-1-2,Banca Corporativa,E1-1,detail
E1-1-3,Banca Privada,E1-1,detail
E1-1-1-1,Cuentas Corrientes,E1-1-1,detail
E1-1-1-2,Préstamos Personales,E1-1-1,detail
E1-1-1-3,Tarjetas de Crédito,E1-1-1,detail
E1-2-1,M&A,E1-2,detail
E1-2-2,Capital Markets,E1-2,detail
E1-2-3,Corporate Finance,E1-2,detail
E1-2-1-1,Fusiones,E1-2-1,detail
E1-2-1-2,Adquisiciones,E1-2-1,detail
E1-3-1,Vida,E1-3,detail
E1-3-2,Salud,E1-3,detail
E1-3-3,Automóvil,E1-3,detail

F1,Cluster Educativo,,detail
F1-1,Primaria,F1,detail
F1-2,Secundaria,F1,detail
F1-3,Universidad,F1,detail
F1-1-1,Primer Grado,F1-1,detail
F1-1-2,Segundo Grado,F1-1,detail
F1-1-3,Tercer Grado,F1-1,detail
F1-1-1-1,Matemáticas Básicas,F1-1-1,detail
F1-1-1-2,Lectura,F1-1-1,detail
F1-1-1-3,Escritura,F1-1-1,detail
F1-2-1,Primer Año,F1-2,detail
F1-2-2,Segundo Año,F1-2,detail
F1-2-3,Tercer Año,F1-2,detail
F1-2-1-1,Álgebra,F1-2-1,detail
F1-2-1-2,Geometría,F1-2-1,detail
F1-2-1-3,Historia,F1-2-1,detail
F1-3-1,Ingeniería,F1-3,detail
F1-3-2,Medicina,F1-3,detail
F1-3-3,Derecho,F1-3,detail

G1,Cluster Deportivo,,detail
G1-1,Fútbol,G1,detail
G1-2,Baloncesto,G1,detail
G1-3,Tenis,G1,detail
G1-1-1,Primera División,G1-1,detail
G1-1-2,Segunda División,G1-1,detail
G1-1-3,Tercera División,G1-1,detail
G1-1-1-1,Delanteros,G1-1-1,detail
G1-1-1-2,Mediocampistas,G1-1-1,detail
G1-1-1-3,Defensas,G1-1-1,detail
G1-1-1-4,Arqueros,G1-1-1,detail
G1-2-1,NBA,G1-2,detail
G1-2-2,ACB,G1-2,detail
G1-2-3,Euroleague,G1-2,detail
G1-2-1-1,Bases,G1-2-1,detail
G1-2-1-2,Escoltas,G1-2-1,detail
G1-2-1-3,Aleros,G1-2-1,detail
G1-2-1-4,Ala-pivots,G1-2-1,detail
G1-2-1-5,Pivots,G1-2-1,detail
G1-3-1,ATP,G1-3,detail
G1-3-2,WTA,G1-3,detail
G1-3-3,Grand Slams,G1-3,detail

H1,Cluster Musical,,detail
H1-1,Rock,H1,detail
H1-2,Jazz,H1,detail
H1-3,Clásica,H1,detail
H1-1-1,Rock Clásico,H1-1,detail
H1-1-2,Rock Progresivo,H1-1,detail
H1-1-3,Heavy Metal,H1-1,detail
H1-1-1-1,The Beatles,H1-1-1,detail
H1-1-1-2,Rolling Stones,H1-1-1,detail
H1-1-1-3,Led Zeppelin,H1-1-1,detail
H1-1-2-1,Pink Floyd,H1-1-2,detail
H1-1-2-2,Yes,H1-1-2,detail
H1-1-2-3,Genesis,H1-1-2,detail
H1-2-1,Tradicional,H1-2,detail
H1-2-2,Moderno,H1-2,detail
H1-2-3,Fusion,H1-2,detail
H1-2-1-1,New Orleans,H1-2-1,detail
