Node,Name,Parent,Type,Img,Description,Position,Department
AAPL,Apple Inc.,,company,business,Empresa tecnológica líder,CEO,Executive
AAPL-1,CEO AAPL,AAPL,profile,person,CEO de la empresa,Chief Executive Officer,Executive
AAPL-1-1,VP Engineering,AAPL-1,profile,computer,VP de Engineering,VP Engineering,Engineering
AAPL-1-1-1,Director 1,AAPL-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-1-1,Manager 1,AAPL-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-1-1,Employee 1,AAPL-1-1-1-1,profile,code,CTO de Engineering,CTO Engineering,Engineering
AAPL-1-1-1-2,Manager 2,AAPL-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-2-1,Employee 1,AAPL-1-1-1-2,profile,person,Senior de Engineering,Senior Engineering,Engineering
AAPL-1-1-1-2-2,Employee 2,AAPL-1-1-1-2,profile,star,Lead de Engineering,Lead Engineering,Engineering
AAPL-1-1-2,Director 2,AAPL-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-2-1,Manager 1,AAPL-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-1-1,Employee 1,AAPL-1-1-2-1,profile,school,Intern de Engineering,Intern Engineering,Engineering
AAPL-1-1-2-1-2,Employee 2,AAPL-1-1-2-1,profile,settings,VP de Engineering,VP Engineering,Engineering
AAPL-1-1-2-2,Manager 2,AAPL-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-2-1,Employee 1,AAPL-1-1-2-2,profile,star,Lead de Engineering,Lead Engineering,Engineering
AAPL-1-1-2-2-2,Employee 2,AAPL-1-1-2-2,profile,person,CEO de Engineering,CEO Engineering,Engineering
AAPL-1-1-2-3,Manager 3,AAPL-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-3-1,Employee 1,AAPL-1-1-2-3,profile,person,Junior de Engineering,Junior Engineering,Engineering
AAPL-1-1-2-3-2,Employee 2,AAPL-1-1-2-3,profile,person,Senior de Engineering,Senior Engineering,Engineering
AAPL-1-1-3,Director 3,AAPL-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-3-1,Manager 1,AAPL-1-1-3,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-3-1-1,Employee 1,AAPL-1-1-3-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-3-1-2,Employee 2,AAPL-1-1-3-1,profile,person,Senior de Engineering,Senior Engineering,Engineering
AAPL-1-1-3-2,Manager 2,AAPL-1-1-3,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-3-2-1,Employee 1,AAPL-1-1-3-2,profile,person,Junior de Engineering,Junior Engineering,Engineering
AAPL-1-1-3-2-2,Employee 2,AAPL-1-1-3-2,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
AAPL-1-2,VP Marketing,AAPL-1,profile,campaign,VP de Marketing,VP Marketing,Marketing
AAPL-1-2-1,Director 1,AAPL-1-2,profile,supervisor_account,Director de Marketing,Director Marketing,Marketing
AAPL-1-2-1-1,Manager 1,AAPL-1-2-1,profile,manage_accounts,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-1-1-1,Employee 1,AAPL-1-2-1-1,profile,person,CEO de Marketing,CEO Marketing,Marketing
AAPL-1-2-1-1-2,Employee 2,AAPL-1-2-1-1,profile,supervisor_account,Director de Marketing,Director Marketing,Marketing
AAPL-1-2-1-2,Manager 2,AAPL-1-2-1,profile,manage_accounts,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-1-2-1,Employee 1,AAPL-1-2-1-2,profile,person,CFO de Marketing,CFO Marketing,Marketing
AAPL-1-2-1-2-2,Employee 2,AAPL-1-2-1-2,profile,person,CFO de Marketing,CFO Marketing,Marketing
AAPL-1-2-1-3,Manager 3,AAPL-1-2-1,profile,icono_invalido,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-1-3-1,Employee 1,AAPL-1-2-1-3,profile,otro_icono_falso,CFO de Marketing,CFO Marketing,Marketing
AAPL-1-2-1-3-2,Employee 2,AAPL-1-2-1-3,profile,person,CEO de Marketing,CEO Marketing,Marketing
AAPL-1-2-2,Director 2,AAPL-1-2,profile,person,Director de Marketing,Director Marketing,Marketing
AAPL-1-2-2-1,Manager 1,AAPL-1-2-2,profile,person,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-2-1-1,Employee 1,AAPL-1-2-2-1,profile,person,CEO de Marketing,CEO Marketing,Marketing
AAPL-1-2-2-2,Manager 2,AAPL-1-2-2,profile,person,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-2-2-1,Employee 1,AAPL-1-2-2-2,profile,person,CFO de Marketing,CFO Marketing,Marketing
AAPL-1-2-2-2-2,Employee 2,AAPL-1-2-2-2,profile,person,Junior de Marketing,Junior Marketing,Marketing
AAPL-1-2-3,Director 3,AAPL-1-2,profile,person,Director de Marketing,Director Marketing,Marketing
AAPL-1-2-3-1,Manager 1,AAPL-1-2-3,profile,person,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-3-1-1,Employee 1,AAPL-1-2-3-1,profile,person,Intern de Marketing,Intern Marketing,Marketing
AAPL-1-2-3-1-2,Employee 2,AAPL-1-2-3-1,profile,person,CEO de Marketing,CEO Marketing,Marketing
AAPL-1-2-3-2,Manager 2,AAPL-1-2-3,profile,person,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-3-2-1,Employee 1,AAPL-1-2-3-2,profile,person,Lead de Marketing,Lead Marketing,Marketing
AAPL-1-2-3-3,Manager 3,AAPL-1-2-3,profile,person,Manager de Marketing,Manager Marketing,Marketing
AAPL-1-2-3-3-1,Employee 1,AAPL-1-2-3-3,profile,person,CFO de Marketing,CFO Marketing,Marketing
AAPL-1-3,VP Sales,AAPL-1,profile,point_of_sale,VP de Sales,VP Sales,Sales
AAPL-1-3-1,Director 1,AAPL-1-3,profile,supervisor_account,Director de Sales,Director Sales,Sales
AAPL-1-3-1-1,Manager 1,AAPL-1-3-1,profile,manage_accounts,Manager de Sales,Manager Sales,Sales
AAPL-1-3-1-1-1,Employee 1,AAPL-1-3-1-1,profile,school,Intern de Sales,Intern Sales,Sales
AAPL-1-3-1-2,Manager 2,AAPL-1-3-1,profile,manage_accounts,Manager de Sales,Manager Sales,Sales
AAPL-1-3-1-2-1,Employee 1,AAPL-1-3-1-2,profile,supervisor_account,Director de Sales,Director Sales,Sales
AAPL-1-3-1-3,Manager 3,AAPL-1-3-1,profile,person,Manager de Sales,Manager Sales,Sales
AAPL-1-3-1-3-1,Employee 1,AAPL-1-3-1-3,profile,person,Senior de Sales,Senior Sales,Sales
AAPL-1-3-2,Director 2,AAPL-1-3,profile,person,Director de Sales,Director Sales,Sales
AAPL-1-3-2-1,Manager 1,AAPL-1-3-2,profile,person,Manager de Sales,Manager Sales,Sales
AAPL-1-3-2-1-1,Employee 1,AAPL-1-3-2-1,profile,person,Manager de Sales,Manager Sales,Sales
AAPL-1-3-2-2,Manager 2,AAPL-1-3-2,profile,person,Manager de Sales,Manager Sales,Sales
AAPL-1-3-2-2-1,Employee 1,AAPL-1-3-2-2,profile,person,Manager de Sales,Manager Sales,Sales
MSFT,Microsoft Corporation,,company,business,Empresa tecnológica líder,CEO,Executive
MSFT-1,CEO MSFT,MSFT,profile,person,CEO de la empresa,Chief Executive Officer,Executive
MSFT-1-1,VP Engineering,MSFT-1,profile,computer,VP de Engineering,VP Engineering,Engineering
MSFT-1-1-1,Director 1,MSFT-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
MSFT-1-1-1-1,Manager 1,MSFT-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-1-1-1,Employee 1,MSFT-1-1-1-1,profile,person,Senior de Engineering,Senior Engineering,Engineering
MSFT-1-1-1-2,Manager 2,MSFT-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-1-2-1,Employee 1,MSFT-1-1-1-2,profile,code,CTO de Engineering,CTO Engineering,Engineering
