Node,Name,Parent,Type,thumbType,Description,Position,Department
AAPL,Apple Inc.,,company,detail,Empresa tecnológica líder,CEO,Executive
AAPL-1,CEO AAPL,AAPL,profile,profile,CEO de la empresa,Chief Executive Officer,Executive
AAPL-1-1,VP Engineering,AAPL-1,profile,profile,VP de Engineering,VP Engineering,Engineering
AAPL-1-1-1,Director 1,AAPL-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-1-1,Manager 1,AAPL-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-1-1,Employee 1,AAPL-1-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-1-2,Employee 2,AAPL-1-1-1-1,profile,profile,CFO de Engineering,CFO Engineering,Engineering
AAPL-1-1-1-1-3,Employee 3,AAPL-1-1-1-1,profile,profile,Junior de Engineering,Junior Engineering,Engineering
AAPL-1-1-1-2,Manager 2,AAPL-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-2-1,Employee 1,AAPL-1-1-1-2,profile,profile,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-1-2-2,Employee 2,AAPL-1-1-1-2,profile,profile,VP de Engineering,VP Engineering,Engineering
AAPL-1-1-1-2-3,Employee 3,AAPL-1-1-1-2,profile,profile,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-1-3,Manager 3,AAPL-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-3-1,Employee 1,AAPL-1-1-1-3,profile,profile,CTO de Engineering,CTO Engineering,Engineering
AAPL-1-1-1-3-2,Employee 2,AAPL-1-1-1-3,profile,profile,Lead de Engineering,Lead Engineering,Engineering
AAPL-1-1-1-3-3,Employee 3,AAPL-1-1-1-3,profile,profile,CEO de Engineering,CEO Engineering,Engineering
AAPL-1-1-1-4,Manager 4,AAPL-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-1-4-1,Employee 1,AAPL-1-1-1-4,profile,profile,CFO de Engineering,CFO Engineering,Engineering
AAPL-1-1-1-4-2,Employee 2,AAPL-1-1-1-4,profile,profile,Junior de Engineering,Junior Engineering,Engineering
AAPL-1-1-1-4-3,Employee 3,AAPL-1-1-1-4,profile,profile,Senior de Engineering,Senior Engineering,Engineering
AAPL-1-1-1-4-4,Employee 4,AAPL-1-1-1-4,profile,profile,Intern de Engineering,Intern Engineering,Engineering
AAPL-1-1-2,Director 2,AAPL-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AAPL-1-1-2-1,Manager 1,AAPL-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-1-1,Employee 1,AAPL-1-1-2-1,profile,profile,CTO de Engineering,CTO Engineering,Engineering
AAPL-1-1-2-1-2,Employee 2,AAPL-1-1-2-1,profile,profile,CTO de Engineering,CTO Engineering,Engineering
AAPL-1-1-2-1-3,Employee 3,AAPL-1-1-2-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-2,Manager 2,AAPL-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-2-1,Employee 1,AAPL-1-1-2-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-2-2,Employee 2,AAPL-1-1-2-2,profile,profile,Senior de Engineering,Senior Engineering,Engineering
AAPL-1-1-2-2-3,Employee 3,AAPL-1-1-2-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-3,Manager 3,AAPL-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-3-1,Employee 1,AAPL-1-1-2-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AAPL-1-1-2-3-2,Employee 2,AAPL-1-1-2-3,profile,profile,CFO de Engineering,CFO Engineering,Engineering
