Node,Name,Parent,Type,URL,Description
1,CEO,,form,https://example.com/ceo,Director Ejecutivo
2,CTO,1,list,https://example.com/cto,Director de Tecnología
3,CFO,1,detail,https://example.com/cfo,Director Financiero
4,Desarrollo,2,report,https://example.com/dev,Equipo de Desarrollo
5,QA,2,settings,https://example.com/qa,Equipo de Calidad
6,Finanzas,3,mosaic,https://example.com/fin,Equipo Financiero
7,Contabilidad,3,modal,https://example.com/cont,Equipo Contable
8,Frontend,4,document,https://example.com/frontend,Desarrolladores Frontend
9,Backend,4,file-csv,https://example.com/backend,Desarrolladores Backend
10,Testing,5,file-pdf,https://example.com/testing,Equipo de Testing 
