Node,Name,Parent,Type,URL,Description
1,Home,,form,https://example.com,Página principal
2,Productos,1,list,https://example.com/products,Catálogo de productos
3,Servicios,1,detail,https://example.com/services,Nuestros servicios
4,Contacto,1,report,https://example.com/contact,Información de contacto
5,Electrónicos,2,settings,https://example.com/electronics,Productos electrónicos
6,Ropa,2,mosaic,https://example.com/clothing,Productos de vestir
7,Consultoría,3,modal,https://example.com/consulting,Servicios de consultoría
8,Soporte,3,document,https://example.com/support,Soporte técnico
9,Acerca de,4,file-csv,https://example.com/about,Nosotros
10,Blog,1,file-pdf,https://example.com/blog,Artículos y noticias 
