id,parent,name,subtitle,url,styleClass,img
1,,NODE 1,subtitle 1,https://swanix.org/diagrams/lib/form.svg,ceo-node,https://swanix.org/diagrams/lib/form.svg
2,,NODE 2,subtitle 2,https://swanix.org/diagrams/lib/form.svg,ceo-node,https://swanix.org/diagrams/lib/form.svg
3,,NODE 3,subtitle 3,https://swanix.org/diagrams/lib/form.svg,ceo-node,https://swanix.org/diagrams/lib/form.svg
4,1,Node 4,subtitle 4,https://swanix.org/diagrams/lib/form.svg,tech-node,https://swanix.org/diagrams/lib/list.svg
5,2,Node 5,subtitle 5,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/list.svg
6,3,Node 6,subtitle 6,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
7,3,Node 7,subtitle 7,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
8,4,Node 8,subtitle 8,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
9,4,Node 9,subtitle 9,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
10,5,Node 10,subtitle 10,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
11,5,Node 11,subtitle 11,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
12,6,Node 12,subtitle 12,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
13,6,Node 13,subtitle 13,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
14,7,Node 14,subtitle 14,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
15,7,Node 15,subtitle 15,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
16,8,Node 16,subtitle 16,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
17,8,Node 17,subtitle 17,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
18,9,Node 18,subtitle 18,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
19,9,Node 19,subtitle 19,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
20,10,Node 20,subtitle 20,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
21,10,Node 21,subtitle 21,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
22,11,Node 22,subtitle 22,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
23,11,Node 23,subtitle 23,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
24,12,Node 24,subtitle 24,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
25,12,Node 25,subtitle 25,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
26,13,Node 26,subtitle 26,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
27,13,Node 27,subtitle 27,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
28,14,Node 28,subtitle 28,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
29,14,Node 29,subtitle 29,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
30,15,Node 30,subtitle 30,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
31,15,Node 31,subtitle 31,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
32,16,Node 32,subtitle 32,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
33,16,Node 33,subtitle 33,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
34,17,Node 34,subtitle 34,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
35,17,Node 35,subtitle 35,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
36,18,Node 36,subtitle 36,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
37,18,Node 37,subtitle 37,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
38,19,Node 38,subtitle 38,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
39,19,Node 39,subtitle 39,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
40,20,Node 40,subtitle 40,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
41,20,Node 41,subtitle 41,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
42,21,Node 42,subtitle 42,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
